"","POLY_ID","MEDHVAL","PCTBACHMOR","MEDHHINC","PCTVACANT","PCTSINGLES","cluster"
"329",329,106600,33.3747,26181,10.275,1.3025,1
"330",330,98600,45.4653,29013,3.2258,0.9677,2
"331",331,110800,55.6541,52250,12.61,2.4927,2
"332",332,105400,28.4468,35781,15.4762,0.9921,1
"333",333,84700,15.3141,27984,9.8976,5.2901,1
"334",334,61700,13.1579,30179,21.8284,8.7687,1
"335",335,49400,16.643,30662,19.3548,5.8824,1
"336",336,47200,4.9618,30547,8.6957,7.6923,1
"337",337,38800,10.1099,25556,17.7994,8.4142,1
"338",338,38200,1.4205,14931,10.6996,12.3457,1
"339",339,35700,6.814,19482,10.1266,4.8101,1
"340",340,38800,6.2741,25052,7.8767,8.2192,1
"341",341,36400,2.1978,22262,7.2261,2.0979,1
"342",342,37300,8.0158,26339,1.1136,3.3408,1
"343",343,36000,3.8265,32150,11.9048,5.7823,1
"344",344,33000,6.0842,28158,7.0461,5.4201,1
"345",345,39000,8.2892,22530,11.8812,5.6931,1
"346",346,45400,8.056,26597,12.8,4.8,1
"347",347,42000,7.7496,26944,11.3537,2.4017,1
"348",348,42500,6.4327,32000,6.682,2.3041,1
"349",349,45900,10.0147,28529,9.2672,1.9397,1
"350",350,58700,24.3568,25912,6.5282,0,1
"351",351,71100,13.9474,47788,0,10,1
"352",352,65900,20.3008,30398,6.1162,5.1988,1
"353",353,57500,16.5926,27194,6.6838,2.3136,1
"354",354,43000,7.8998,27381,12.5356,0,1
"355",355,48400,11.7249,24028,11.4833,0,1
"356",356,42300,2.7267,30163,10.7097,1.5484,1
"357",357,43900,17.0588,22292,7.2222,8.3333,1
"358",358,42600,11.2727,29875,28.7671,0,1
"359",359,36700,1.6667,18125,19.9588,5.5556,1
"360",360,43100,9.5729,18810,16.2222,0,1
"361",361,43800,7.5738,31667,13.6622,3.7951,1
"362",362,37600,1.2012,30048,14.2539,3.118,1
"363",363,27400,0,20457,18.5185,5.291,1
"364",364,38000,14.8148,22386,19.1549,1.6901,1
"365",365,34700,6.7847,23125,8.1481,33.3333,1
"366",366,40200,11.583,27284,13.8365,0,1
"367",367,38000,6.9544,29519,12.6354,0,1
"368",368,39000,8.0979,31576,9.1803,6.5574,1
"369",369,34000,6.1489,27500,11.6751,12.1827,1
"370",370,38600,0,31346,9.3333,2,1
"371",371,36900,1.9126,21111,19.8758,14.2857,1
"372",372,23900,12.0148,21850,18.75,7.8804,1
"373",373,68400,17.7419,21731,13.8889,3.8462,1
"374",374,40600,11.25,19777,17.3913,3.2609,1
"375",375,42200,6.0024,25811,12.5,1.6304,1
"376",376,47600,5.8271,19539,18.6,5,1
"377",377,24900,5.531,17422,18.9702,0,1
"378",378,37900,14.1304,24650,15.0685,0,1
"379",379,61800,4.1237,19342,0,12.6126,1
"380",380,58900,4.8101,10568,27.0548,0,1
"381",381,89300,34.5013,25581,11.2084,0,1
"382",382,107000,56.0874,21154,8.3123,0,2
